subject,age,gender,edu,english,encoding_instruction_condition,encoding_task_condition,recall_instruction_condition,aware,list,output 1,output 2,output 3,output 4,output 5,output 6,output 7,output 8,output 9,output 10,output 11,output 12,output 13,output 14,output 15,output 16,output 17,output 18,output 19,output 20,output 21,output 22,output 23,output 24,output 25
60,,,,,Incidental,Animacy,Free,no,0,8,10,6,14,15,12,4,11,,,,,,,,,,,,,,,,,
60,,,,,Incidental,Animacy,Free,no,1,16,9,7,10,8,1,,,,,,,,,,,,,,,,,,,
61,,,,,Incidental,Animacy,Free,no,0,12,16,10,7,13,5,14,,,,,,,,,,,,,,,,,,
61,,,,,Incidental,Animacy,Free,no,1,10,16,1,4,14,13,9,14,,,,,,,,,,,,,,,,,
62,,,,,Incidental,Animacy,Free,no,0,-2999,15,16,14,10,4,,,,,,,,,,,,,,,,,,,
62,,,,,Incidental,Animacy,Free,no,1,2,3,1,9,,,,,,,,,,,,,,,,,,,,,
63,,,,,Incidental,Animacy,Free,no,0,16,15,1,2,12,8,13,11,,,,,,,,,,,,,,,,,
63,,,,,Incidental,Animacy,Free,no,1,9,11,3,10,2,5,-1,13,,,,,,,,,,,,,,,,,
64,,,,,Incidental,Animacy,Free,no,0,16,15,13,4,10,2,1,15,11,,,,,,,,,,,,,,,,
64,,,,,Incidental,Animacy,Free,no,1,5,14,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,Incidental,Animacy,Free,no,0,16,15,13,5,9,15,,,,,,,,,,,,,,,,,,,
65,,,,,Incidental,Animacy,Free,no,1,2,1,4,8,15,11,2,-999,4,9,,,,,,,,,,,,,,,
66,,,,,Incidental,Animacy,Free,no,0,13,5,7,8,,,,,,,,,,,,,,,,,,,,,
66,,,,,Incidental,Animacy,Free,no,1,15,1,-999,6,-999,-999,,,,,,,,,,,,,,,,,,,
67,,,,,Incidental,Animacy,Free,no,0,2,13,7,12,4,16,5,,,,,,,,,,,,,,,,,,
67,,,,,Incidental,Animacy,Free,no,1,9,15,5,3,7,14,12,,,,,,,,,,,,,,,,,,
68,,,,,Incidental,Animacy,Free,yes,0,15,7,13,16,,,,,,,,,,,,,,,,,,,,,
68,,,,,Incidental,Animacy,Free,yes,1,1,2,4,16,7,,,,,,,,,,,,,,,,,,,,
