subject,age,gender,edu,english,encoding_instruction_condition,encoding_task_condition,recall_instruction_condition,aware,list,output 1,output 2,output 3,output 4,output 5,output 6,output 7,output 8,output 9,output 10,output 11,output 12,output 13,output 14,output 15,output 16,output 17,output 18,output 19,output 20,output 21,output 22,output 23,output 24,output 25
4200,24,male,bac,Yes,Incidental,Varying Size,Free,no,0,8,-999,5,10,2,10,,,,,,,,,,,,,,,,,,,
4201,28,female,mas,Yes,Incidental,Varying Size,Free,no,0,8,15,13,2,12,16,3,7,,,,,,,,,,,,,,,,,
4202,29,male,bac,Yes,Incidental,Varying Size,Free,no,0,5,16,6,9,13,2,1,,,,,,,,,,,,,,,,,,
4203,26,female,bac,Yes,Incidental,Varying Size,Free,no,0,16,-999,1,15,9,14,11,,,,,,,,,,,,,,,,,,
4204,38,male,ass,Yes,Incidental,Varying Size,Free,no,0,15,9,16,14,-999,3,6,15,-999,-999,1,7,-999,-999,-999,,,,,,,,,,
4205,57,female,mas,Yes,Incidental,Varying Size,Free,no,0,-999,13,15,11,6,8,-999,14,,,,,,,,,,,,,,,,,
4206,33,male,bac,Yes,Incidental,Varying Size,Free,no,0,16,15,,,,,,,,,,,,,,,,,,,,,,,
4207,40,female,bac,Yes,Incidental,Varying Size,Free,no,0,14,1,3,13,9,,,,,,,,,,,,,,,,,,,,
4208,39,female,ass,Yes,Incidental,Varying Size,Free,no,0,16,1,4,14,,,,,,,,,,,,,,,,,,,,,
4209,,,,,Incidental,Weight,Free,no,0,5,6,9,16,7,15,10,,,,,,,,,,,,,,,,,,
4209,,,,,Incidental,Weight,Free,no,1,16,1,15,12,13,7,,,,,,,,,,,,,,,,,,,
4210,,,,,Incidental,Weight,Free,no,0,11,15,7,3,14,5,9,4,,,,,,,,,,,,,,,,,
4210,,,,,Incidental,Weight,Free,no,1,14,15,12,11,,,,,,,,,,,,,,,,,,,,,
4211,,,,,Incidental,Weight,Free,no,0,10,7,14,9,5,2,13,,,,,,,,,,,,,,,,,,
4211,,,,,Incidental,Weight,Free,no,1,8,1,10,16,4,6,5,,,,,,,,,,,,,,,,,,
4212,,,,,Incidental,Weight,Free,yes,0,-999,7,10,14,-999,-999,,,,,,,,,,,,,,,,,,,
4212,,,,,Incidental,Weight,Free,yes,1,8,5,6,12,13,11,10,,,,,,,,,,,,,,,,,,
4213,,,,,Incidental,Weight,Free,no,0,-999,4,16,-999,15,1,14,9,13,12,7,,,,,,,,,,,,,,
4213,,,,,Incidental,Weight,Free,no,1,1,4,2,8,16,11,10,13,15,,,,,,,,,,,,,,,,
4214,,,,,Incidental,Weight,Free,no,0,8,-999,,,,,,,,,,,,,,,,,,,,,,,
4214,,,,,Incidental,Weight,Free,no,1,12,,,,,,,,,,,,,,,,,,,,,,,,
4215,,,,,Incidental,Weight,Free,no,0,14,16,9,10,4,11,,,,,,,,,,,,,,,,,,,
4215,,,,,Incidental,Weight,Free,no,1,1,3,2,14,,,,,,,,,,,,,,,,,,,,,
4216,,,,,Incidental,Weight,Free,no,0,14,1,4,16,10,7,16,12,-999,,,,,,,,,,,,,,,,
4216,,,,,Incidental,Weight,Free,no,1,13,10,3,12,2,13,-999,,,,,,,,,,,,,,,,,,
4217,,,,,Incidental,Weight,Free,no,0,16,14,8,15,,,,,,,,,,,,,,,,,,,,,
4217,,,,,Incidental,Weight,Free,no,1,3,4,11,8,15,,,,,,,,,,,,,,,,,,,,
4218,,,,,Incidental,Weight,Free,no,0,1,7,8,6,5,,,,,,,,,,,,,,,,,,,,
4218,,,,,Incidental,Weight,Free,no,1,1,2,4,5,7,14,-1,,,,,,,,,,,,,,,,,,
4219,,,,,Incidental,Weight,Free,no,0,11,5,15,13,16,4,12,10,8,,,,,,,,,,,,,,,,
4219,,,,,Incidental,Weight,Free,no,1,11,3,9,7,15,6,1,5,,,,,,,,,,,,,,,,,
4220,,,,,Incidental,Weight,Free,no,0,-999,16,10,6,9,11,15,,,,,,,,,,,,,,,,,,
4220,,,,,Incidental,Weight,Free,no,1,15,16,,,,,,,,,,,,,,,,,,,,,,,
4221,,,,,Incidental,Weight,Free,no,0,16,5,11,8,10,4,9,6,-999,,,,,,,,,,,,,,,,
4221,,,,,Incidental,Weight,Free,no,1,4,16,1,14,12,3,5,,,,,,,,,,,,,,,,,,
4222,,,,,Incidental,Weight,Free,no,0,2,3,12,11,8,14,6,11,-2999,7,,,,,,,,,,,,,,,
4222,,,,,Incidental,Weight,Free,no,1,5,7,3,8,2,15,14,4,-1,,,,,,,,,,,,,,,,
4223,,,,,Incidental,Weight,Free,no,0,8,11,14,16,3,9,,,,,,,,,,,,,,,,,,,
4223,,,,,Incidental,Weight,Free,no,1,2,6,9,15,12,11,4,14,16,7,,,,,,,,,,,,,,,
4224,,,,,Incidental,Weight,Free,no,0,3,15,5,11,16,13,10,14,1,-999,,,,,,,,,,,,,,,
4224,,,,,Incidental,Weight,Free,no,1,13,16,15,12,14,5,6,,,,,,,,,,,,,,,,,,
4225,,,,,Incidental,Weight,Free,no,0,5,16,1,4,8,10,7,6,14,,,,,,,,,,,,,,,,
4225,,,,,Incidental,Weight,Free,no,1,13,11,3,,,,,,,,,,,,,,,,,,,,,,
4226,,,,,Incidental,Weight,Free,no,0,9,4,16,14,8,12,15,6,10,5,3,,,,,,,,,,,,,,
4226,,,,,Incidental,Weight,Free,no,1,3,2,10,1,8,11,7,13,,,,,,,,,,,,,,,,,
4227,,,,,Incidental,Weight,Free,no,0,-2999,13,,,,,,,,,,,,,,,,,,,,,,,
4227,,,,,Incidental,Weight,Free,no,1,1,16,9,14,3,13,7,12,,,,,,,,,,,,,,,,,
4228,,,,,Incidental,Weight,Free,no,0,16,15,14,12,11,2,1,9,3,6,,,,,,,,,,,,,,,
4228,,,,,Incidental,Weight,Free,no,1,5,1,15,9,8,6,3,14,10,16,13,4,,,,,,,,,,,,,
4229,,,,,Incidental,Weight,Free,yes,0,14,15,12,3,13,,,,,,,,,,,,,,,,,,,,
4229,,,,,Incidental,Weight,Free,yes,1,12,8,13,6,15,,,,,,,,,,,,,,,,,,,,
4230,,,,,Incidental,Weight,Free,no,0,1,2,14,6,8,7,16,11,,,,,,,,,,,,,,,,,
4230,,,,,Incidental,Weight,Free,no,1,14,16,9,,,,,,,,,,,,,,,,,,,,,,
4231,,,,,Incidental,Weight,Free,no,0,11,15,2,14,8,13,4,7,,,,,,,,,,,,,,,,,
4231,,,,,Incidental,Weight,Free,no,1,14,7,8,9,11,14,,,,,,,,,,,,,,,,,,,
4232,,,,,Incidental,Weight,Free,no,0,-999,12,16,8,9,6,-999,-999,15,,,,,,,,,,,,,,,,
4232,,,,,Incidental,Weight,Free,no,1,9,4,8,12,16,13,15,,,,,,,,,,,,,,,,,,
4233,,,,,Incidental,Weight,Free,no,0,14,16,13,6,5,15,13,,,,,,,,,,,,,,,,,,
4233,,,,,Incidental,Weight,Free,no,1,15,11,14,6,4,,,,,,,,,,,,,,,,,,,,
4234,,,,,Incidental,Weight,Free,no,0,16,11,12,2,10,13,5,6,,,,,,,,,,,,,,,,,
4234,,,,,Incidental,Weight,Free,no,1,2,1,15,7,,,,,,,,,,,,,,,,,,,,,
4235,,,,,Incidental,Weight,Free,no,0,10,16,2,6,9,8,12,11,15,,,,,,,,,,,,,,,,
4235,,,,,Incidental,Weight,Free,no,1,3,16,14,5,2,15,13,,,,,,,,,,,,,,,,,,
4236,,,,,Incidental,Weight,Free,no,0,13,16,4,9,14,10,11,,,,,,,,,,,,,,,,,,
4236,,,,,Incidental,Weight,Free,no,1,2,15,12,14,11,1,,,,,,,,,,,,,,,,,,,
4237,,,,,Incidental,Weight,Free,no,0,11,15,16,15,2,13,3,6,5,,,,,,,,,,,,,,,,
4237,,,,,Incidental,Weight,Free,no,1,16,8,5,7,11,12,,,,,,,,,,,,,,,,,,,
4238,,,,,Incidental,Weight,Free,no,0,5,16,13,7,3,9,2,12,1,,,,,,,,,,,,,,,,
4238,,,,,Incidental,Weight,Free,no,1,12,16,9,6,8,,,,,,,,,,,,,,,,,,,,
4239,,,,,Incidental,Weight,Free,no,0,11,10,16,13,4,5,3,15,,,,,,,,,,,,,,,,,
4239,,,,,Incidental,Weight,Free,no,1,1,13,2,10,16,14,-999,16,15,13,-1,5,,,,,,,,,,,,,
4240,,,,,Incidental,Weight,Free,no,0,15,8,10,6,9,16,1,,,,,,,,,,,,,,,,,,
4240,,,,,Incidental,Weight,Free,no,1,14,16,7,,,,,,,,,,,,,,,,,,,,,,
4241,,,,,Incidental,Weight,Free,no,0,-999,8,13,6,3,10,7,11,,,,,,,,,,,,,,,,,
4241,,,,,Incidental,Weight,Free,no,1,7,11,8,16,5,14,15,1,,,,,,,,,,,,,,,,,
4242,,,,,Incidental,Weight,Free,no,0,10,15,8,13,14,7,2,,,,,,,,,,,,,,,,,,
4242,,,,,Incidental,Weight,Free,no,1,16,12,4,10,11,,,,,,,,,,,,,,,,,,,,
4243,,,,,Incidental,Weight,Free,no,0,6,12,16,8,7,13,9,,,,,,,,,,,,,,,,,,
4243,,,,,Incidental,Weight,Free,no,1,15,9,-999,-999,14,16,13,,,,,,,,,,,,,,,,,,
4244,,,,,Incidental,Weight,Free,yes,0,10,16,-999,3,4,10,,,,,,,,,,,,,,,,,,,
4244,,,,,Incidental,Weight,Free,yes,1,-1,13,10,4,,,,,,,,,,,,,,,,,,,,,
4245,,,,,Incidental,Weight,Free,no,0,9,,,,,,,,,,,,,,,,,,,,,,,,
4245,,,,,Incidental,Weight,Free,no,1,1,5,16,,,,,,,,,,,,,,,,,,,,,,
4246,,,,,Incidental,Weight,Free,no,0,16,11,13,12,7,6,9,,,,,,,,,,,,,,,,,,
4246,,,,,Incidental,Weight,Free,no,1,3,15,9,14,,,,,,,,,,,,,,,,,,,,,
4247,,,,,Incidental,Weight,Free,no,0,10,15,1,16,7,12,13,,,,,,,,,,,,,,,,,,
4247,,,,,Incidental,Weight,Free,no,1,6,16,4,10,14,,,,,,,,,,,,,,,,,,,,
4248,,,,,Incidental,Weight,Free,no,0,12,3,,,,,,,,,,,,,,,,,,,,,,,
4248,,,,,Incidental,Weight,Free,no,1,6,,,,,,,,,,,,,,,,,,,,,,,,
4249,,,,,Incidental,Weight,Free,no,0,1,8,12,16,6,9,14,2,4,15,,,,,,,,,,,,,,,
4249,,,,,Incidental,Weight,Free,no,1,11,4,5,7,2,-1,14,12,16,,,,,,,,,,,,,,,,
4250,,,,,Incidental,Weight,Free,no,0,10,1,7,4,6,13,2,16,8,14,,,,,,,,,,,,,,,
4250,,,,,Incidental,Weight,Free,no,1,12,14,11,6,5,8,9,10,2,15,16,7,,,,,,,,,,,,,
4251,,,,,Incidental,Weight,Free,no,0,8,11,15,3,2,,,,,,,,,,,,,,,,,,,,
4251,,,,,Incidental,Weight,Free,no,1,12,4,,,,,,,,,,,,,,,,,,,,,,,
4252,,,,,Incidental,Weight,Free,no,0,1,15,13,16,8,10,11,9,5,2,,,,,,,,,,,,,,,
4252,,,,,Incidental,Weight,Free,no,1,12,3,11,1,14,16,13,4,,,,,,,,,,,,,,,,,
4253,,,,,Incidental,Weight,Free,no,0,1,12,8,,,,,,,,,,,,,,,,,,,,,,
4253,,,,,Incidental,Weight,Free,no,1,8,10,7,-1,,,,,,,,,,,,,,,,,,,,,
4254,,,,,Incidental,Weight,Free,no,0,9,-999,,,,,,,,,,,,,,,,,,,,,,,
4254,,,,,Incidental,Weight,Free,no,1,1,4,3,10,16,,,,,,,,,,,,,,,,,,,,
4255,,,,,Incidental,Weight,Free,no,0,1,8,16,11,5,14,15,12,-999,7,,,,,,,,,,,,,,,
4255,,,,,Incidental,Weight,Free,no,1,15,9,14,2,1,6,-1,,,,,,,,,,,,,,,,,,
4256,,,,,Incidental,Weight,Free,no,0,14,9,7,5,6,16,,,,,,,,,,,,,,,,,,,
4256,,,,,Incidental,Weight,Free,no,1,10,14,2,8,16,,,,,,,,,,,,,,,,,,,,
4257,,,,,Incidental,Weight,Free,no,0,3,6,9,11,12,8,16,,,,,,,,,,,,,,,,,,
4257,,,,,Incidental,Weight,Free,no,1,3,12,1,15,14,-1,,,,,,,,,,,,,,,,,,,
4258,,,,,Incidental,Weight,Free,no,0,9,3,7,13,10,11,5,16,1,,,,,,,,,,,,,,,,
4258,,,,,Incidental,Weight,Free,no,1,4,7,5,4,10,5,14,,,,,,,,,,,,,,,,,,
4259,,,,,Incidental,Weight,Free,no,0,8,4,12,6,4,1,16,15,9,7,13,10,,,,,,,,,,,,,
4259,,,,,Incidental,Weight,Free,no,1,9,-1,3,1,16,11,13,5,,,,,,,,,,,,,,,,,
4260,,,,,Incidental,Weight,Free,no,0,13,12,15,10,,,,,,,,,,,,,,,,,,,,,
4260,,,,,Incidental,Weight,Free,no,1,12,1,13,9,1,6,,,,,,,,,,,,,,,,,,,
4261,,,,,Incidental,Weight,Free,no,0,16,15,10,13,7,-999,9,12,,,,,,,,,,,,,,,,,
4261,,,,,Incidental,Weight,Free,no,1,6,15,1,-1,15,9,11,,,,,,,,,,,,,,,,,,
4262,,,,,Incidental,Weight,Free,no,0,16,14,15,10,12,5,,,,,,,,,,,,,,,,,,,
4262,,,,,Incidental,Weight,Free,no,1,1,4,8,16,6,2,3,10,12,13,,,,,,,,,,,,,,,
4263,,,,,Incidental,Weight,Free,no,0,14,11,12,13,15,16,2,8,6,,,,,,,,,,,,,,,,
4263,,,,,Incidental,Weight,Free,no,1,1,10,5,9,4,8,16,,,,,,,,,,,,,,,,,,
4264,,,,,Incidental,Weight,Free,no,0,1,13,14,8,12,,,,,,,,,,,,,,,,,,,,
4264,,,,,Incidental,Weight,Free,no,1,5,16,13,14,10,12,,,,,,,,,,,,,,,,,,,
4265,,,,,Incidental,Weight,Free,no,0,5,9,4,11,16,,,,,,,,,,,,,,,,,,,,
4265,,,,,Incidental,Weight,Free,no,1,16,,,,,,,,,,,,,,,,,,,,,,,,
4266,,,,,Incidental,Weight,Free,no,0,14,11,13,14,10,13,-999,8,,,,,,,,,,,,,,,,,
4266,,,,,Incidental,Weight,Free,no,1,2,5,11,2,-1,-999,-2999,,,,,,,,,,,,,,,,,,
4267,,,,,Incidental,Weight,Free,yes,0,16,12,13,15,7,6,9,,,,,,,,,,,,,,,,,,
4267,,,,,Incidental,Weight,Free,yes,1,1,2,3,7,9,14,16,7,,,,,,,,,,,,,,,,,
4268,,,,,Incidental,Weight,Free,no,0,9,12,8,16,6,4,13,15,,,,,,,,,,,,,,,,,
4268,,,,,Incidental,Weight,Free,no,1,1,2,15,14,16,-1,,,,,,,,,,,,,,,,,,,
4269,,,,,Incidental,Weight,Free,no,0,13,16,8,15,2,13,14,9,12,5,,,,,,,,,,,,,,,
4269,,,,,Incidental,Weight,Free,no,1,6,15,9,14,4,,,,,,,,,,,,,,,,,,,,
4270,,,,,Incidental,Weight,Free,no,0,14,11,16,2,9,,,,,,,,,,,,,,,,,,,,
4270,,,,,Incidental,Weight,Free,no,1,14,10,9,11,12,7,6,8,,,,,,,,,,,,,,,,,
4271,,,,,Incidental,Weight,Free,no,0,9,7,10,5,12,13,16,3,,,,,,,,,,,,,,,,,
4271,,,,,Incidental,Weight,Free,no,1,11,4,16,13,,,,,,,,,,,,,,,,,,,,,
4272,,,,,Incidental,Weight,Free,no,0,8,1,10,5,7,15,9,6,12,,,,,,,,,,,,,,,,
4272,,,,,Incidental,Weight,Free,no,1,12,1,16,15,8,-999,,,,,,,,,,,,,,,,,,,
4273,,,,,Incidental,Weight,Free,no,0,16,14,11,5,12,15,4,11,13,,,,,,,,,,,,,,,,
4273,,,,,Incidental,Weight,Free,no,1,3,4,5,2,9,1,8,16,15,14,,,,,,,,,,,,,,,
4274,,,,,Incidental,Weight,Free,no,0,2,11,13,3,7,16,-999,,,,,,,,,,,,,,,,,,
4274,,,,,Incidental,Weight,Free,no,1,16,3,15,5,-999,7,6,8,10,9,11,12,13,-999,15,,,,,,,,,,
4275,,,,,Incidental,Weight,Free,no,0,2,13,14,7,,,,,,,,,,,,,,,,,,,,,
4275,,,,,Incidental,Weight,Free,no,1,14,13,10,5,12,,,,,,,,,,,,,,,,,,,,
4276,,,,,Incidental,Weight,Free,no,0,6,13,15,16,2,14,8,,,,,,,,,,,,,,,,,,
4276,,,,,Incidental,Weight,Free,no,1,-999,12,8,9,3,,,,,,,,,,,,,,,,,,,,
4277,,,,,Incidental,Weight,Free,no,0,15,6,13,16,12,8,-999,-999,3,,,,,,,,,,,,,,,,
4277,,,,,Incidental,Weight,Free,no,1,4,14,16,12,13,,,,,,,,,,,,,,,,,,,,
4278,,,,,Incidental,Weight,Free,no,0,10,15,8,7,2,1,,,,,,,,,,,,,,,,,,,
4278,,,,,Incidental,Weight,Free,no,1,4,7,9,8,-1,12,13,-999,2,,,,,,,,,,,,,,,,
4279,,,,,Incidental,Weight,Free,no,0,13,10,12,8,11,3,6,2,7,1,9,15,,,,,,,,,,,,,
4279,,,,,Incidental,Weight,Free,no,1,10,9,2,7,14,,,,,,,,,,,,,,,,,,,,
4280,,,,,Incidental,Weight,Free,no,0,14,16,13,1,12,2,6,10,4,12,,,,,,,,,,,,,,,
4280,,,,,Incidental,Weight,Free,no,1,2,10,3,15,11,16,14,,,,,,,,,,,,,,,,,,
4281,,,,,Incidental,Weight,Free,no,0,-2999,12,2,9,10,3,6,,,,,,,,,,,,,,,,,,
4281,,,,,Incidental,Weight,Free,no,1,1,16,9,,,,,,,,,,,,,,,,,,,,,,
4282,,,,,Incidental,Weight,Free,no,0,-2999,14,,,,,,,,,,,,,,,,,,,,,,,
4282,,,,,Incidental,Weight,Free,no,1,2,16,11,3,15,14,,,,,,,,,,,,,,,,,,,
4283,,,,,Incidental,Weight,Free,no,0,14,16,9,-999,2,10,15,,,,,,,,,,,,,,,,,,
4283,,,,,Incidental,Weight,Free,no,1,5,6,4,15,-999,16,1,6,,,,,,,,,,,,,,,,,
4284,,,,,Incidental,Weight,Free,no,0,8,7,5,1,9,11,16,6,,,,,,,,,,,,,,,,,
4284,,,,,Incidental,Weight,Free,no,1,9,5,7,13,,,,,,,,,,,,,,,,,,,,,
4285,,,,,Incidental,Weight,Free,no,0,12,16,10,7,14,,,,,,,,,,,,,,,,,,,,
4285,,,,,Incidental,Weight,Free,no,1,2,6,5,8,9,,,,,,,,,,,,,,,,,,,,
4286,,,,,Incidental,Weight,Free,no,0,6,13,15,14,5,,,,,,,,,,,,,,,,,,,,
4286,,,,,Incidental,Weight,Free,no,1,12,5,15,14,,,,,,,,,,,,,,,,,,,,,
4287,,,,,Incidental,Weight,Free,yes,0,14,6,9,4,1,6,15,,,,,,,,,,,,,,,,,,
4287,,,,,Incidental,Weight,Free,yes,1,2,3,4,5,9,4,6,,,,,,,,,,,,,,,,,,
4288,,,,,Incidental,Weight,Free,no,0,1,5,14,-999,12,16,1,5,,,,,,,,,,,,,,,,,
4288,,,,,Incidental,Weight,Free,no,1,-999,1,-1,-2999,-2999,,,,,,,,,,,,,,,,,,,,
4289,,,,,Incidental,Weight,Free,no,0,7,2,3,4,12,4,8,6,9,16,-999,,,,,,,,,,,,,,
4289,,,,,Incidental,Weight,Free,no,1,1,6,13,9,7,6,10,8,-1,-999,,,,,,,,,,,,,,,
4290,,,,,Incidental,Weight,Free,no,0,16,12,6,10,14,11,4,7,8,,,,,,,,,,,,,,,,
4290,,,,,Incidental,Weight,Free,no,1,1,2,3,4,6,13,-999,11,10,14,15,7,,,,,,,,,,,,,
4291,,,,,Incidental,Weight,Free,no,0,4,14,13,16,6,2,1,12,15,,,,,,,,,,,,,,,,
4291,,,,,Incidental,Weight,Free,no,1,16,15,12,4,8,,,,,,,,,,,,,,,,,,,,
4292,,,,,Incidental,Weight,Free,no,0,5,6,16,14,10,7,15,,,,,,,,,,,,,,,,,,
4292,,,,,Incidental,Weight,Free,no,1,3,15,14,8,11,3,10,13,,,,,,,,,,,,,,,,,
4293,,,,,Incidental,Weight,Free,no,0,8,11,13,11,4,5,16,14,,,,,,,,,,,,,,,,,
4293,,,,,Incidental,Weight,Free,no,1,1,11,12,9,15,1,13,16,11,9,,,,,,,,,,,,,,,
4294,,,,,Incidental,Weight,Free,no,0,12,,,,,,,,,,,,,,,,,,,,,,,,
4294,,,,,Incidental,Weight,Free,no,1,-999,16,8,13,4,12,1,,,,,,,,,,,,,,,,,,
4295,,,,,Incidental,Weight,Free,no,0,13,5,2,3,10,16,12,15,,,,,,,,,,,,,,,,,
4295,,,,,Incidental,Weight,Free,no,1,1,12,15,14,,,,,,,,,,,,,,,,,,,,,
4296,,,,,Incidental,Weight,Free,no,0,15,11,7,13,16,,,,,,,,,,,,,,,,,,,,
4296,,,,,Incidental,Weight,Free,no,1,7,9,2,,,,,,,,,,,,,,,,,,,,,,
4297,,,,,Incidental,Weight,Free,no,0,7,2,9,10,-999,11,6,,,,,,,,,,,,,,,,,,
4297,,,,,Incidental,Weight,Free,no,1,9,5,1,13,5,,,,,,,,,,,,,,,,,,,,
4298,,,,,Incidental,Weight,Free,no,0,16,10,7,13,12,4,,,,,,,,,,,,,,,,,,,
4298,,,,,Incidental,Weight,Free,no,1,16,12,5,15,4,3,9,11,4,13,,,,,,,,,,,,,,,
4299,,,,,Incidental,Weight,Free,no,0,-999,12,13,11,9,14,15,,,,,,,,,,,,,,,,,,
4299,,,,,Incidental,Weight,Free,no,1,2,3,15,,,,,,,,,,,,,,,,,,,,,,
4300,,,,,Incidental,Weight,Free,no,0,14,11,5,8,10,1,9,-999,12,-999,,,,,,,,,,,,,,,
4300,,,,,Incidental,Weight,Free,no,1,16,2,5,6,3,4,6,,,,,,,,,,,,,,,,,,
4301,,,,,Incidental,Weight,Free,no,0,7,8,15,6,3,10,,,,,,,,,,,,,,,,,,,
4301,,,,,Incidental,Weight,Free,no,1,-999,1,11,8,2,,,,,,,,,,,,,,,,,,,,
4302,,,,,Incidental,Weight,Free,no,0,6,7,5,-999,,,,,,,,,,,,,,,,,,,,,
4302,,,,,Incidental,Weight,Free,no,1,1,15,16,-1,,,,,,,,,,,,,,,,,,,,,
4303,,,,,Incidental,Weight,Free,no,0,14,2,4,16,,,,,,,,,,,,,,,,,,,,,
4304,,,,,Incidental,Weight,Free,no,0,15,14,7,11,9,,,,,,,,,,,,,,,,,,,,
4304,,,,,Incidental,Weight,Free,no,1,14,9,16,,,,,,,,,,,,,,,,,,,,,,
4305,,,,,Incidental,Weight,Free,no,0,12,3,7,5,14,,,,,,,,,,,,,,,,,,,,
4305,,,,,Incidental,Weight,Free,no,1,15,16,9,,,,,,,,,,,,,,,,,,,,,,
4306,,,,,Incidental,Weight,Free,no,0,10,6,13,15,4,12,14,,,,,,,,,,,,,,,,,,
4306,,,,,Incidental,Weight,Free,no,1,9,1,11,14,12,,,,,,,,,,,,,,,,,,,,
4307,,,,,Incidental,Weight,Free,no,0,13,2,3,4,14,8,5,16,15,,,,,,,,,,,,,,,,
4307,,,,,Incidental,Weight,Free,no,1,1,5,8,4,10,2,4,12,,,,,,,,,,,,,,,,,
4308,,,,,Incidental,Weight,Free,no,0,15,16,6,1,,,,,,,,,,,,,,,,,,,,,
4308,,,,,Incidental,Weight,Free,no,1,14,15,,,,,,,,,,,,,,,,,,,,,,,
4309,,,,,Incidental,Weight,Free,no,0,16,15,13,3,9,11,6,12,14,8,,,,,,,,,,,,,,,
4309,,,,,Incidental,Weight,Free,no,1,1,2,3,7,9,10,13,12,2,14,16,3,,,,,,,,,,,,,
4310,,,,,Incidental,Weight,Free,no,0,10,14,9,15,13,1,16,8,7,,,,,,,,,,,,,,,,
4310,,,,,Incidental,Weight,Free,no,1,14,2,8,9,15,4,3,11,13,,,,,,,,,,,,,,,,
4311,,,,,Incidental,Weight,Free,no,0,15,10,2,1,11,3,12,,,,,,,,,,,,,,,,,,
4311,,,,,Incidental,Weight,Free,no,1,4,11,15,14,5,,,,,,,,,,,,,,,,,,,,
4312,,,,,Incidental,Weight,Free,no,0,16,9,1,12,14,,,,,,,,,,,,,,,,,,,,
4312,,,,,Incidental,Weight,Free,no,1,10,12,3,14,,,,,,,,,,,,,,,,,,,,,
4313,,,,,Incidental,Weight,Free,no,0,13,6,14,5,-999,10,-999,,,,,,,,,,,,,,,,,,
4313,,,,,Incidental,Weight,Free,no,1,1,2,-999,1,2,10,11,,,,,,,,,,,,,,,,,,
4314,,,,,Incidental,Weight,Free,no,0,-2999,1,14,10,,,,,,,,,,,,,,,,,,,,,
4314,,,,,Incidental,Weight,Free,no,1,8,5,3,,,,,,,,,,,,,,,,,,,,,,
4315,,,,,Incidental,Weight,Free,no,0,16,15,,,,,,,,,,,,,,,,,,,,,,,
4315,,,,,Incidental,Weight,Free,no,1,12,15,6,8,12,13,9,7,,,,,,,,,,,,,,,,,
4316,,,,,Incidental,Weight,Free,no,0,11,12,16,9,5,15,10,14,,,,,,,,,,,,,,,,,
4316,,,,,Incidental,Weight,Free,no,1,6,7,5,10,16,12,,,,,,,,,,,,,,,,,,,
4317,,,,,Incidental,Weight,Free,no,0,1,7,11,12,4,10,9,,,,,,,,,,,,,,,,,,
4317,,,,,Incidental,Weight,Free,no,1,2,1,9,4,,,,,,,,,,,,,,,,,,,,,
4318,,,,,Incidental,Weight,Free,no,0,15,16,7,6,12,1,9,,,,,,,,,,,,,,,,,,
4319,,,,,Incidental,Weight,Free,yes,0,5,13,1,12,14,6,7,16,2,11,,,,,,,,,,,,,,,
4319,,,,,Incidental,Weight,Free,yes,1,3,4,7,14,13,6,5,11,,,,,,,,,,,,,,,,,
4320,,,,,Incidental,Weight,Free,no,0,16,15,4,9,8,7,6,14,3,5,,,,,,,,,,,,,,,
4320,,,,,Incidental,Weight,Free,no,1,5,1,2,3,10,15,13,8,12,,,,,,,,,,,,,,,,
4321,,,,,Incidental,Weight,Free,no,0,3,11,7,10,14,6,9,,,,,,,,,,,,,,,,,,
4321,,,,,Incidental,Weight,Free,no,1,2,3,8,-1,3,16,-1,,,,,,,,,,,,,,,,,,
4322,,,,,Incidental,Weight,Free,no,0,15,7,12,10,5,8,6,1,9,,,,,,,,,,,,,,,,
4322,,,,,Incidental,Weight,Free,no,1,1,2,5,13,16,15,,,,,,,,,,,,,,,,,,,
4323,,,,,Incidental,Weight,Free,yes,0,16,5,12,14,2,7,-999,3,,,,,,,,,,,,,,,,,
4323,,,,,Incidental,Weight,Free,yes,1,16,5,15,12,2,10,,,,,,,,,,,,,,,,,,,
4324,,,,,Incidental,Weight,Free,no,0,7,15,5,4,1,8,6,2,,,,,,,,,,,,,,,,,
4324,,,,,Incidental,Weight,Free,no,1,16,10,5,6,12,,,,,,,,,,,,,,,,,,,,
4325,,,,,Incidental,Weight,Free,yes,0,9,12,15,2,6,11,3,10,16,,,,,,,,,,,,,,,,
4325,,,,,Incidental,Weight,Free,yes,1,16,13,2,5,1,8,3,14,,,,,,,,,,,,,,,,,
4326,,,,,Incidental,Weight,Free,no,0,13,10,2,1,7,4,11,14,6,,,,,,,,,,,,,,,,
4326,,,,,Incidental,Weight,Free,no,1,2,13,16,15,14,7,,,,,,,,,,,,,,,,,,,
4327,,,,,Incidental,Weight,Free,yes,0,12,6,9,2,11,16,9,13,-999,,,,,,,,,,,,,,,,
4327,,,,,Incidental,Weight,Free,yes,1,9,1,8,13,12,9,-999,-999,,,,,,,,,,,,,,,,,
4328,,,,,Incidental,Weight,Free,no,0,-2999,10,6,4,,,,,,,,,,,,,,,,,,,,,
4328,,,,,Incidental,Weight,Free,no,1,6,4,15,14,,,,,,,,,,,,,,,,,,,,,
4329,,,,,Incidental,Weight,Free,no,0,16,15,6,11,4,8,10,14,9,,,,,,,,,,,,,,,,
4329,,,,,Incidental,Weight,Free,no,1,6,11,3,14,16,8,4,9,15,4,,,,,,,,,,,,,,,
